time,ra,dec,x,y,z,vx,vy,vz,Cal
2458212.51382076,2.636047820110631,0.3233777136197173,-2.142243690171037,0.4342529575321939,0.3560019932378207,-0.003268700749491598,-0.01081292776377737,-0.003269665362277746, A.D. 2018-Apr-04 00:18:44.9280
2458212.51658076,2.63604651322554,0.3233788884008368,-2.142252711562779,0.4342231138064126,0.3559929689245032,-0.003268539499428359,-0.01081296000901743,-0.003269691970667704, A.D. 2018-Apr-04 00:22:43.3920
2458212.54705076,2.636031678206151,0.3233917459621835,-2.142352276840455,0.4338936374919214,0.3558933369349729,-0.003266759298926797,-0.01081331583818422,-0.003269985674700214, A.D. 2018-Apr-04 01:06:36.0000
2458212.54833076,2.6360310394680044,0.3233922812023053,-2.142356458244393,0.4338797964384282,0.3558891513455177,-0.003266684514386468,-0.01081333077987982,-0.00326999801081942, A.D. 2018-Apr-04 01:08:26.5920
2458212.54954076,2.636030434571792,0.3233927867718297,-2.142360410889557,0.4338667123007247,0.3558851946411977,-0.003266613819560816,-0.01081334490399355,-0.003270009672161418, A.D. 2018-Apr-04 01:10:11.1360
2458212.55078076,2.6360298135836446,0.3233933044888457,-2.142364461446196,0.4338533037426777,0.355881139821374,-0.0032665413718878,-0.01081335937783375,-0.003270021622483609, A.D. 2018-Apr-04 01:11:58.2720
2458212.55204076,2.6360291814602963,0.3233938301296565,-2.142368577241346,0.4338396789025854,0.3558770195870811,-0.003266467755650199,-0.01081337408464145,-0.003270033765398288, A.D. 2018-Apr-04 01:13:47.1360
2458212.55332076,2.6360285381668405,0.3233943636942621,-2.142372758272102,0.4338258377745526,0.3558728339360747,-0.003266392970817466,-0.01081338902439911,-0.003270046100902645, A.D. 2018-Apr-04 01:15:37.7280
2458213.89806076,2.635571045604164,0.3238381887231928,-2.146712362920112,0.4192742110418283,0.3514667977121268,-0.003187784966565102,-0.01082880985652307,-0.003282918333395518, A.D. 2018-Apr-05 09:32:03.2640
2458213.90929076,2.6355681955687618,0.3238408639115104,-2.146748158056836,0.419152602798828,0.3514299299403215,-0.003187128170658785,-0.01082893632737505,-0.003283025096212462, A.D. 2018-Apr-05 09:48:13.5360
2458213.91987076,2.635565646131417,0.323843369052399,-2.146781874599516,0.4190380320223198,0.3513951950027633,-0.003186509385539152,-0.01082905544302067,-0.003283125668397694, A.D. 2018-Apr-05 10:03:27.6480
2458213.93125076,2.6355630524150686,0.3238460498781301,-2.146818133289309,0.4189147966421071,0.3513578324170561,-0.003185843805964819,-0.01082918352762673,-0.003283233833232172, A.D. 2018-Apr-05 10:19:50.8800
2458221.8953707595,2.638184304089735,0.324100721341264,-2.170332405943923,0.3323385010733575,0.324916494041543,-0.002718828075668283,-0.010909201159489,-0.003355856255503312, A.D. 2018-Apr-13 09:28:10.8480
2458221.90616076,2.638193360341425,0.3240978991787702,-2.170361738679334,0.3322207902708717,0.3248802838420296,-0.00271819390597921,-0.01090929655387513,-0.003355950465636944, A.D. 2018-Apr-13 09:43:43.1040
2458221.91641076,2.638202085556515,0.3240952088235414,-2.1703895970789,0.3321089695188895,0.3248458848917491,-0.00271759147110928,-0.01090938714154381,-0.003356039950378771, A.D. 2018-Apr-13 09:58:28.7040
2458221.92728076,2.638211469127252,0.3240923480020046,-2.170419133825572,0.331990383959974,0.3248094042221654,-0.002716952592974,-0.01090948317399074,-0.003356134836666094, A.D. 2018-Apr-13 10:14:07.8720
2458231.833060759,2.652973077262924,0.3191791824705761,-2.194445123750994,0.223538922973149,0.2911518593177147,-0.00213362602750964,-0.01098219735069901,-0.003437799073653024, A.D. 2018-Apr-23 07:58:27.2640
2458231.848410759,2.6530043946656234,0.3191668305834735,-2.194477867963034,0.2233703455545257,0.2910990881880079,-0.002132720817293172,-0.01098228714657171,-0.003437918147444802, A.D. 2018-Apr-23 08:20:33.5040
2458231.853470759,2.6530147701069744,0.3191627517490116,-2.194488658775171,0.2233147751080422,0.2910816922233038,-0.002132422421700822,-0.0109823167315635,-0.003437957394047972, A.D. 2018-Apr-23 08:27:50.6880
2458231.8645007587,2.6530374777132075,0.3191538498542415,-2.194512175806584,0.2231936398022004,0.2910437710824891,-0.00213177196550982,-0.01098238119558188,-0.003438042936703876, A.D. 2018-Apr-23 08:43:43.6800
2458231.865410759,2.6530393567521338,0.3191531148262803,-2.194514115695531,0.2231836458283838,0.2910406424587941,-0.002131718301314246,-0.01098238651238438,-0.00343804999363554, A.D. 2018-Apr-23 08:45:02.3040
2458231.874390759,2.653057945416238,0.319145857066572,-2.194533256147972,0.2230850237627738,0.2910097684574394,-0.002131188735710184,-0.01098243896596425,-0.003438119627965136, A.D. 2018-Apr-23 08:57:58.1760
2458242.7215807573,2.6821462535458007,0.3080433091405987,-2.214179982461772,0.1036764082329281,0.2532806366407651,-0.001491235390841311,-0.01102822730182903,-0.003516423866117291, A.D. 2018-May-04 05:17:55.3920
2458242.726820757,2.6821625966169305,0.3080365395669356,-2.214187795725156,0.1036186202876843,0.2532622104884851,-0.001490926290417255,-0.01102824097131021,-0.003516458882044583, A.D. 2018-May-04 05:25:28.1280
2458242.732060757,2.682178956966819,0.3080297634482878,-2.214195607368858,0.1035608322708036,0.2532437841527193,-0.001490617190206713,-0.01102825463266885,-0.003516493895253052, A.D. 2018-May-04 05:33:00.8640
2458242.7373007573,2.682195335206333,0.3080229809417348,-2.214203417393566,0.1035030441772458,0.253225357631861,-0.001490308090182745,-0.0110282682859062,-0.003516528905745772, A.D. 2018-May-04 05:40:33.6000
2458245.708080757,2.6922038831809543,0.3040706500034972,-2.218370531822945,0.07073028227384927,0.2427494744158498,-0.001315107981081918,-0.01103470298767448,-0.003535939985169745, A.D. 2018-May-07 04:58:28.9920
2458245.713760757,2.692223154478236,0.3040626206860866,-2.218378000685144,0.0706676051336292,0.2427293901739062,-0.001314773100567601,-0.01103471279681177,-0.003535976260744179, A.D. 2018-May-07 05:06:39.7440
2458245.719440757,2.692242444659981,0.3040545837415871,-2.218385467645222,0.07060492793772023,0.2427093057259263,-0.001314438220467531,-0.01103472259644491,-0.003536012533121136, A.D. 2018-May-07 05:14:50.4960
2458245.725120757,2.6922617545115863,0.3040465393445317,-2.218392932703181,0.07054225068619138,0.2426892210719332,-0.001314103340782097,-0.01103473238657398,-0.003536048802300604, A.D. 2018-May-07 05:23:01.2480
2458247.7059307564,2.699380128787424,0.3012101889295261,-2.220880276105806,0.04868154398441476,0.2356725822483657,-0.001197346833624374,-0.01103756752331124,-0.003548502085236414, A.D. 2018-May-09 04:55:23.2320
2458247.7112007565,2.699398948777468,0.3012023196239013,-2.220886585305403,0.04862337598684986,0.2356538815561519,-0.001197036278616314,-0.0110375735276134,-0.003548534698723226, A.D. 2018-May-09 05:02:58.5600
2458247.7164807566,2.6994178207085104,0.3011944290078063,-2.220892904835724,0.04856509758100543,0.2356351452061214,-0.001196725134766254,-0.01103757953512832,-0.003548567371334162, A.D. 2018-May-09 05:10:34.7520
2458247.7217507563,2.699436673720184,0.3011865471183576,-2.220899210758413,0.04850692952532858,0.2356164441715194,-0.001196414580686291,-0.01103758552309962,-0.003548599979305478, A.D. 2018-May-09 05:18:10.0800
2458251.843120756,2.715315442431102,0.294788689857051,-2.22532981539109,0.00301073383179474,0.220939960659555,-0.0009537050340829056,-0.01103977599280689,-0.003573257529827131, A.D. 2018-May-13 08:12:56.4480
2458251.854460756,2.715361051671821,0.2947698091470023,-2.225340626622154,0.00288554277960524,0.2208994395485938,-0.000953037703001218,-0.01103977516692057,-0.003573323051260057, A.D. 2018-May-13 08:29:16.2240
2458251.865280756,2.715404676490634,0.294751790385258,-2.225350935045369,0.002766092417095159,0.2208607758551377,-0.0009524009753931314,-0.01103977434392212,-0.003573385556292291, A.D. 2018-May-13 08:44:51.0720
2458251.914430756,2.7156041378662734,0.2946699417911756,-2.225397674474874,0.002223487604042994,0.2206851369789116,-0.0009495086654466808,-0.01103977017540284,-0.003573669340083569, A.D. 2018-May-13 09:55:37.6320
2458251.920020756,2.7156269537876394,0.2946606376503727,-2.225402981308641,0.002161775293245595,0.2206651600781142,-0.000949179716563843,-0.0110397696566601,-0.003573701600620417, A.D. 2018-May-13 10:03:40.6080
2458251.931400756,2.715673480478133,0.2946417022940652,-2.225413779163458,0.002036142720245298,0.2206244909801062,-0.000948510051811186,-0.01103976857244135,-0.003573767266342701, A.D. 2018-May-13 10:20:03.8400
2458253.6903107557,2.7228926519165038,0.291721391838008,-2.226991117426252,-0.01738140224636257,0.2143297208997448,-0.0008450432759488414,-0.01103914717908023,-0.003583762225443087, A.D. 2018-May-15 04:32:53.6640
2458253.695580756,2.722914069480073,0.2917123475418242,-2.226995569987831,-0.01743957854441935,0.2143108343948316,-0.000844733388353444,-0.01103914396360403,-0.003583791710963477, A.D. 2018-May-15 04:40:28.9920
2458253.7008507554,2.7229355020360213,0.291703297259161,-2.227000020915912,-0.01749775482039138,0.2142919477361983,-0.0008444235015102934,-0.01103914074004872,-0.003583821193726396, A.D. 2018-May-15 04:48:04.3200
2458253.706130755,2.7229569909137443,0.291694223955605,-2.227004478652088,-0.01755604147154701,0.2142730250834256,-0.0008441130273694585,-0.01103913750227421,-0.003583850729671532, A.D. 2018-May-15 04:55:40.5120
2458253.814090756,2.723400626190479,0.2915076605282314,-2.227095266422099,-0.01874782312419182,0.2138860799790712,-0.0008377649316261452,-0.01103906952148681,-0.003584454043949895, A.D. 2018-May-15 07:31:08.2560
2458253.8213607552,2.7234308353091032,0.2914950457247304,-2.227101355418867,-0.01882807713676935,0.2138600208525137,-0.0008373374634366146,-0.01103906482184451,-0.003584494629434746, A.D. 2018-May-15 07:41:36.3840
2458253.8291507554,2.7234632561264096,0.2914815244844822,-2.227107876493781,-0.01891407143404123,0.2138320974693391,-0.0008368794213055998,-0.01103905976899055,-0.003584538112055989, A.D. 2018-May-15 07:52:49.4400
2458253.8372907555,2.7234971902139904,0.2914673918903037,-2.227114686744327,-0.01900392935954171,0.2138029191440298,-0.0008364008013328197,-0.01103905447025814,-0.003584583541893235, A.D. 2018-May-15 08:04:32.7360
2458255.687290754,2.731370430037824,0.2882628683711136,-2.228561438028029,-0.0394247574808887,0.2071619943689749,-0.0007276705262764618,-0.01103735085198821,-0.003594738020154287, A.D. 2018-May-17 04:28:32.7360
2458255.692540755,2.731392569923358,0.2882534896000319,-2.228565257489314,-0.03948270356595478,0.2071431219169008,-0.0007273621054173778,-0.01103734460401798,-0.003594766353886336, A.D. 2018-May-17 04:36:06.3360
2458255.697790755,2.7314147245394707,0.2882441050693637,-2.228569075330713,-0.03954064960793378,0.2071242493194249,-0.0007270536854222483,-0.01103733834805836,-0.003594794684879714, A.D. 2018-May-17 04:43:39.9360
2458255.703040755,2.7314368944970275,0.288234714901282,-2.228572891552909,-0.03959859561704801,0.2071053765732184,-0.0007267452662366768,-0.01103733208410833,-0.00359482301313944, A.D. 2018-May-17 04:51:13.5360
2458257.771930754,2.740528290223323,0.2845026143728099,-2.229950765813651,-0.06243063899573318,0.1996566821583967,-0.0006052706271115797,-0.01103424238149807,-0.003605773669952467, A.D. 2018-May-19 06:30:25.6320
2458257.7753807544,2.7405435442962656,0.2844961679817643,-2.2299528536482,-0.06246870712340118,0.1996442422076531,-0.0006050681737734217,-0.01103423619546031,-0.003605791576353955, A.D. 2018-May-19 06:35:23.7120
2458257.7848707545,2.740585552730752,0.2844784289090327,-2.229958593102767,-0.06257342194501854,0.1996100230115945,-0.0006045112824244969,-0.01103421916164101,-0.003605840825843394, A.D. 2018-May-19 06:49:03.6480
2458257.794130754,2.740626612927855,0.2844611108446232,-2.229964188361175,-0.06267559873443562,0.1995766327040516,-0.0006039678907792665,-0.01103420251558179,-0.003605888873110851, A.D. 2018-May-19 07:02:23.7120
2458258.669110754,2.744576228971535,0.2828425379446974,-2.230470188916906,-0.072329584382288,0.1964195770991037,-0.0005526355156981464,-0.01103251795852746,-0.003610390518320606, A.D. 2018-May-20 04:02:21.9840
2458258.674390754,2.7445996067842007,0.2828325874037527,-2.230473106014953,-0.07238783605026049,0.1964005141654847,-0.000552325832726923,-0.01103250712275482,-0.003610417452761414, A.D. 2018-May-20 04:09:58.1760
2458258.6796707544,2.744622997739196,0.2828226310334084,-2.230476021477875,-0.07244608766096877,0.196381451089669,-0.0005520161507088537,-0.01103249627894365,-0.003610444384438449, A.D. 2018-May-20 04:17:34.3680
2458258.684940754,2.744646358116022,0.2828126878053932,-2.230478929788314,-0.07250422888359878,0.1963624239783206,-0.0005517070561918824,-0.01103248544765549,-0.003610471262349861, A.D. 2018-May-20 04:25:09.6960
