time,ra,dec
2450699.520621279,6.039801839976457,-0.02788087465736029
2450699.533181279,6.0397606659140735,-0.027917289416313416
2450699.545781279,6.0397191469397224,-0.027953823381254444
2450700.433661279,6.036765712909536,-0.03052708012464749
2450700.456481279,6.036693316826696,-0.030593464752491348
2450700.479251279,6.036620506140893,-0.030659722302912373
2454184.7975044637,3.168925822477781,-0.01512514339388869
2454184.8048144635,3.168896693368898,-0.015107233156717281
2454184.8120544637,3.1688678422560574,-0.01508949370001318
2454184.8192144637,3.1688393110969755,-0.015071949563105673
2454185.6944144634,3.1654924454180433,-0.012927881395363043
2454185.7120044637,3.1654229464770425,-0.012884825658606085
2454185.7295944635,3.1653532983976564,-0.012841767530748052
2454197.7651544637,3.1210638017616854,0.01575115297617931
2454197.771464464,3.1210413633550362,0.01576533751135636
2454197.7777944636,3.1210188574914115,0.015779565278338986
2454197.784124464,3.1209963567416015,0.01579379131744565
2454704.4505844293,5.963358433163221,-0.026839600125326435
2454704.4519344294,5.963354305703886,-0.02684309601981818
2454704.4532844294,5.963350176446863,-0.02684659205393626
2454704.4917944293,5.963231562876059,-0.026946371933860833
2454705.433794429,5.960176144929263,-0.029402564260694736
2454705.4351644292,5.960171926608086,-0.029406169377891072
2454705.4365144293,5.960167768238971,-0.029409721995583504
2454716.476034427,5.923777306729953,-0.060123460092090124
2454716.4783344273,5.92377011202899,-0.060130070125206325
2454716.480634427,5.92376291076559,-0.060136680332855456
2454716.482934427,5.923755702957205,-0.0601432907150375
2454716.4852444273,5.92374845713555,-0.06014992999987197
2454716.7970144274,5.922714283824642,-0.06104503629628408
2454716.803474427,5.922692188497365,-0.06106352062460634
2454716.809954427,5.922670031158537,-0.06108205869161627
2454716.816464427,5.9226477800606245,-0.06110067908580703
2454718.772754427,5.9164768186040435,-0.06669501056578651
2454718.779114427,5.9164556392953696,-0.06671317136242534
2454718.785474427,5.916434460335761,-0.06673132821462005
2454718.791874427,5.9164131507906195,-0.06674959526690374
2454718.838834427,5.916257086817392,-0.0668835084462898
2454718.839714427,5.916254170459477,-0.06688601589101298
2454718.8476844267,5.916227776787677,-0.06690872211843595
2454718.848564427,5.916224864775634,-0.06691122884757413
2454718.8565444266,5.916198479830481,-0.06693395710105224
2454718.857424427,5.916195572705358,-0.06693646313205871
2454718.8654144267,5.916169201583212,-0.06695921358612493
2454728.748254426,5.888800532768052,-0.09427935624414722
2454728.7653444256,5.888756597926404,-0.09432421591831246
2454728.782444426,5.8887126979738875,-0.09436905482305959
2454734.6209144252,5.87675722685854,-0.10897442977583299
2454734.6419544253,5.876717417835617,-0.10902446468284294
2454734.662984425,5.876677365147278,-0.10907440167688186
2454760.6750744255,5.875866433480149,-0.1495365085319018
2454760.6800444257,5.875873930070712,-0.1495399205982296
2454760.685014426,5.875881432752474,-0.14954332706205048
2454760.690584426,5.875889849445712,-0.14954713812809853
2454770.632654427,5.898650586904607,-0.15313769887704562
2454770.644464427,5.8986825941137875,-0.15313818065773233
2454770.656244427,5.898714540515695,-0.1531386313541051
2454770.668024427,5.898746517809932,-0.15313905231006736
2454794.5653844317,5.995206471997973,-0.13787359929707027
2454794.5719744316,5.995238744654278,-0.13786539556890748
2454794.578614432,5.9952712613599735,-0.13785712260353328
2454794.5853044316,5.995304023703308,-0.13784878022641472
2455209.7404060215,2.096787296393605,0.18635711908871083
2455209.7462760215,2.096760768767785,0.18636316108696865
2455209.7581860214,2.0967068973303733,0.18637540905716757
2455648.9070660374,3.9113804875772753,-0.20650865932103057
2455648.9248460373,3.911353863417294,-0.2064804467892571
2455648.9426260376,3.911327211279685,-0.20645216355419557
2455652.908826038,3.9049919536030337,-0.19985201772820757
2455652.9265860375,3.904956657722304,-0.19982110712685
2455652.944366038,3.904921321245216,-0.1997900929925612
2455667.0033160374,3.8682374214211444,-0.17231336785889687
2455667.0145560373,3.868199449549246,-0.17228925700794517
2455667.0376960374,3.8681215739354062,-0.17223957603625425
2455678.952826036,3.8244104507726933,-0.14629059112610868
2455678.964076036,3.8243648323515425,-0.14626583946006882
2455678.974786036,3.8243214941332457,-0.14624226592618067
2455679.891906036,3.8206991664371435,-0.1442459757635888
2455679.907266036,3.820635972288626,-0.14421241573497343
2455679.9239260363,3.8205675683148375,-0.14417598502371093
2455679.9384760363,3.8205079645529367,-0.14414414435384826
2455688.773856035,3.785193967462837,-0.12562488024718357
2455688.780746035,3.785165598584469,-0.12561118552120779
2455688.787656035,3.7851371460001104,-0.12559744634169598
2455688.7945560347,3.7851087353560136,-0.12558372236400192
2455694.781426034,3.7620933511303933,-0.11430284694014249
2455694.7884160336,3.7620663212511745,-0.11429047063588367
2455694.795306034,3.7620396866715775,-0.11427826785225907
2455694.8022560338,3.7620128309587644,-0.11426595526997126
2456207.449167574,0.7701153435729957,0.1947505256727018
2456207.465737574,0.7700777641034728,0.19471596101511565
2456207.4822775736,0.7700400763362699,0.19468150277025403
2456208.8073075735,0.766705049051121,0.1918811094365118
2456208.8165675737,0.7666795163676943,0.19186143528233188
2456208.8281275737,0.7666475710478897,0.191836847694695
2456212.7299075737,0.7556411887740259,0.1832924564644785
2456212.7475875737,0.7555852743938181,0.18325338224262436
2456212.765277574,0.755529042346233,0.18321423370465068
2456216.754787574,0.7425871728350469,0.1741602413441566
2456216.772457574,0.742523879045682,0.1741199440828291
2456216.790137574,0.7424603352204484,0.17407956754864704
2456218.892052574,0.735039861433144,0.16922780530084433
2456218.907207574,0.7349825740198669,0.1691925601917427
2456218.9223835743,0.7349252794681931,0.16915722326086916
2456218.937674574,0.7348676477014546,0.16912157677839948
2456220.7682375745,0.7281717390977084,0.16487338813224584
2456220.785927574,0.7281026992306602,0.16483250728517634
